Instrumento;Acción;Cantidad;Precio;Tiempo;ID;E/X;Posición;ID de orden;Nombre;Comisión;Tarifa;Nombre de cuenta de pantalla;Conexión;
MNQ 12-25;Comprar;1;25618,75;09/12/2025 15:37:46;329064809496_1;Salida;-;329064809496;Stop1;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Comprar;1;25618,75;09/12/2025 15:37:46;329064809454_1;Salida;1 S;329064809454;Stop1;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Vender;1;25600,00;09/12/2025 15:36:54;329064809490_1;Entrada;2 S;329064809490;Entry;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Comprar;1;25578,75;09/12/2025 15:34:46;329064809472_1;Salida;1 S;329064809472;Exit;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Vender;1;25597,50;09/12/2025 15:34:18;329064809460_1;Entrada;2 S;329064809460;Entry;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Vender;1;25592,25;09/12/2025 15:34:09;329064809448_1;Entrada;1 S;329064809448;Entry;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Comprar;2;25580,00;09/12/2025 15:31:50;329064809340_1;Salida;-;329064809340;Stop1;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Vender;2;25621,50;09/12/2025 15:30:25;329064809334_1;Entrada;2 S;329064809334;Entry;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Comprar;1;25652,00;09/12/2025 12:24:44;329064809326_1;Salida;-;329064809326;Cerrar;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Comprar;1;25635,25;09/12/2025 12:16:59;329064809298_1;Salida;1 S;329064809298;Exit;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Vender;1;25647,25;09/12/2025 12:14:58;329064809286_1;Entrada;2 S;329064809286;Entry;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Vender;1;25642,75;09/12/2025 12:13:10;329064809274_1;Entrada;1 S;329064809274;Entry;0,00 $;1;PAAPEX4193400000001;APEX;
